Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,EVENT[PUBLISHER],Event[Sponsor]
"Knowledge-Based Software Engineering Conference,",1993,KBSE 1993,KBSE,20-Sep-1993,23-Sep-1993,,,,chicago,,USA,Knowledge based Software Engineering,Conference,https://en.wikipedia.org/wiki/International_Conference_on_Automated_Software_Engineering,,,IEEE,
"Knowledge-Based Software Engineering Conference,",1992,KBSE 1992,KBSE,20-Sep-1992,23-Sep-1992,,,,McLean,,USA,Knowledge based Software Engineering,Conference,https://en.wikipedia.org/wiki/International_Conference_on_Automated_Software_Engineering,,,IEEE,
"Knowledge-Based Software Engineering Conference,",1991,KBSE 1991,KBSE,22-Sep-1991,25-Sep-1991,,,,Syracuse,,USA,Knowledge based Software Engineering,Conference,https://en.wikipedia.org/wiki/International_Conference_on_Automated_Software_Engineering,,,IEEE,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
