Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],Event[sponsor]
SIGMOD 1989,1989,SIGMOD 1989,SIGMOD,31-May-1989,2-Jun-1989,,,,Portland,Oregon,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod89.html,ACM,
SIGMOD 1988,1988,SIGMOD 1988,SIGMOD,1-Jun-1988,3-Jun-1988,,,,Chicago,Illinois,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod88.html,ACM,
SIGMOD 1987,1987,SIGMOD 1987,SIGMOD,27-May-1987,29-May-1987,,,,San Francisco,California,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod87.html,ACM,
SIGMOD 1986,1986,SIGMOD 1986,SIGMOD,28-May-1986,30-May-1986,,,,Washington,,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod86.html,ACM,
SIGMOD 1985,1985,SIGMOD 1985,SIGMOD,28-May-1985,30-May-1985,,,,Austin,Texas,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod85.html,ACM,
SIGMOD 1984,1984,SIGMOD 1984,SIGMOD,18-Jun-1984,20-Jun-1984,,,,Boston,Massachusetts,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod84.html,ACM,
SIGMOD 1983,1983,SIGMOD 1983,SIGMOD,23-May-1983,25-May-1983,,,,San Jose,California,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod83.html,ACM,
SIGMOD 1982,1982,SIGMOD 1982,SIGMOD,2-Jun-1982,4-Jun-1982,,,,Orlando,Florida,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod82.html,ACM,
SIGMOD 1981,1981,SIGMOD 1981,SIGMOD,29-Apr-1981,1-May-1981,,,,Ann Arbor,Michigan,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod81.html,ACM,
SIGMOD 1980,1980,SIGMOD 1980,SIGMOD,14-May-1980,16-May-1980,,,,Santa Monica,California,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod80.html,ACM,
SIGMOD 1979,1979,SIGMOD 1979,SIGMOD,1-May-3079,3-May-3079,,,,Boston,Massachusetts,USA,Management of Data,Conference,dblp.uni-trier.de/db/conf/sigmod/sigmod79.html,ACM,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
