Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Event[Sponsors],Event[Publisher]
International Symposium on Computer Architecture and High Performance Computing,1996,SBAC-PAD 1996,SBAC-PAD,4-Aug-1996,9-Aug-1996,,,,,,,Computer Architecture and High Performance Computing,Symposium,http://www.lbd.dcc.ufmg.br/colecoes/sbac-pad/1996/001.pdf,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1995,SBAC-PAD 1995,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1994,SBAC-PAD 1994,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1993,SBAC-PAD 1993,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1992,SBAC-PAD 1992,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1991,SBAC-PAD 1991,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1990,SBAC-PAD 1990,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1989,SBAC-PAD 1989,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1988,SBAC-PAD 1988,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
International Symposium on Computer Architecture and High Performance Computing,1987,SBAC-PAD 1987,SBAC-PAD,,,,,,,,,Computer Architecture and High Performance Computing,Symposium,,,,IEEE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
