Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],Event[Sponsors],,,,,,,,,
SIGGRAPH 1994,1994,SIGGRAPH 1994,SIGGRAPH,24-Jul-1994,29-Jul-1994,242,57,0.23553719,Orlando,Florida,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1994.html,ACM,,,,,,,,,,
SIGGRAPH 1993,1993,SIGGRAPH 1993,SIGGRAPH,2-Aug-1993,6-Aug-1993,225,46,0.204444444,Anaheim,California,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1993.html,ACM,,,,,,,,,,
SIGGRAPH 1992,1992,SIGGRAPH 1992,SIGGRAPH,27-Jul-1992,31-Jul-1992,213,45,0.211267606,Chicago,Illinois,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1992.html,ACM,,,,,,,,,,
SIGGRAPH 1991,1991,SIGGRAPH 1991,SIGGRAPH,27-Apr-1991,30-Apr-1991,,46,,Providence,,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1991.html,ACM,,,,,,,,,,
SIGGRAPH 1990,1990,SIGGRAPH 1990,SIGGRAPH,6-Aug-1990,10-Aug-1990,210,43,0.204761905,Dallas,Texas,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1990.html,ACM,,,,,,,,,,
SIGGRAPH 1989,1989,SIGGRAPH 1989,SIGGRAPH,31-Jul-1989,4-Aug-1989,190,38,0.2,Boston,Massachusetts,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1989.html,ACM,,,,,,,,,,
SIGGRAPH 1988,1988,SIGGRAPH 1988,SIGGRAPH,1-Aug-1988,5-Aug-1988,161,34,0.211180124,Atlanta,Georgia,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1988.html,ACM,,,,,,,,,,
SIGGRAPH 1987,1987,SIGGRAPH 1987,SIGGRAPH,27-Jul-1987,31-Jul-1987,140,33,0.235714286,Anaheim,California,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1987.html,ACM,,,,,,,,,,
SIGGRAPH 1986,1986,SIGGRAPH 1986,SIGGRAPH,18-Aug-1986,22-Aug-1986,,,,Dallas,Texas,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1986.html,ACM,,,,,,,,,,
SIGGRAPH 1985,1985,SIGGRAPH 1985,SIGGRAPH,22-Jul-1985,26-Jul-1985,175,35,0.2,San Francisco,California,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1985.html,ACM,,,,,,,,,,
SIGGRAPH 1984,1984,SIGGRAPH 1984,SIGGRAPH,23-Jul-1984,27-Jul-1984,118,41,0.347457627,Minneapolis,Minnesota,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1984.html,ACM,,,,,,,,,,
SIGGRAPH 1983,1983,SIGGRAPH 1983,SIGGRAPH,25-Jul-1983,29-Jul-1983,,,,Detroit,Michigan,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1983.html,ACM,,,,,,,,,,
SIGGRAPH 1982,1982,SIGGRAPH 1982,SIGGRAPH,26-Jul-1982,30-Jul-1982,,,,Boston,Massachusetts,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1982.html,ACM,,,,,,,,,,
SIGGRAPH 1981,1981,SIGGRAPH 1981,SIGGRAPH,3-Aug-1981,7-Aug-1981,132,38,0.287878788,Dallas,Texas,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1981.html,ACM,,,,,,,,,,
SIGGRAPH 1980,1980,SIGGRAPH 1980,SIGGRAPH,14-Jul-1980,17-Jul-1980,140,52,0.371428571,Seattle,Washington,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1980.html,ACM,,,,,,,,,,
SIGGRAPH 1979,1979,SIGGRAPH 1979,SIGGRAPH,8-Aug-1979,10-Aug-1979,110,43,0.390909091,Chicago,Illinois,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1979.html,ACM,,,,,,,,,,
SIGGRAPH 1978,1978,SIGGRAPH 1978,SIGGRAPH,23-Aug-1978,25-Aug-1978,120,64,0.533333333,Atlanta,Georgia,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1978.html,ACM,,,,,,,,,,
SIGGRAPH 1977,1977,SIGGRAPH 1977,SIGGRAPH,20-Jul-1977,22-Jul-1977,,,,San Jose,California,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1977.html,ACM,,,,,,,,,,
SIGGRAPH 1976,1976,SIGGRAPH 1976,SIGGRAPH,14-Jul-1976,16-Jul-1976,,,,Philadelphia,Pennsylvania,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1976.html,ACM,,,,,,,,,,
SIGGRAPH 1975,1975,SIGGRAPH 1975,SIGGRAPH,25-Jun-1975,27-Jun-1975,,,,Bowling Green,Ohio,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1975.html,ACM,,,,,,,,,,
SIGGRAPH 1974,1974,SIGGRAPH 1974,SIGGRAPH,15-Jul-1974,17-Jul-1974,,,,Boulder,Colorado,USA,Graphics and Interactive Techniques,Conference,dblp2.uni-trier.de/db/conf/siggraph/siggraph1974.html,ACM,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
