Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Event[Sponsors],Event[Publisher]
15th High-Performance Computer Architecture,2009,HPCA 2009,HPCA,14-Feb-2009,18-Feb-2009,184,35,19.0%,Raleigh,North Carolina,USA,High Performance Computer Architecture,Conference,www.comparch.ncsu.edu/hpca/,,,ACM
14th High-Performance Computer Architecture,2008,HPCA 2008,HPCA,16-Feb-2008,20-Feb-2008,161,31,19.3%,Salt Lake,,USA,High Performance Computer Architecture,Conference,dblp2.uni-trier.de/db/conf/hpca/hpca2008,,,ACM
13th High-Performance Computer Architecture,2007,HPCA 2007,HPCA,10-Feb-2007,14-Feb-2007,174,28,16.1%,Phoenix,Arizona,USA,High Performance Computer Architecture,Conference,hpcaconf.org/hpca13/index.html,,,ACM
12th High-Performance Computer Architecture,2006,HPCA 2006,HPCA,11-Feb-2006,15-Feb-2006,172,22,12.8%,Austin,Texas,USA,High Performance Computer Architecture,Conference,hpcaconf.org/hpca12/index.html,,,ACM
11th High-Performance Computer Architecture,2005,HPCA 2005,HPCA,12-Feb-2005,16-Feb-2005,181,28,15.5%,San Francisco,California,USA,High Performance Computer Architecture,Conference,hpcaconf.org/hpca11/index.html,,,ACM
10th High-Performance Computer Architecture,2004,HPCA 2004,HPCA,14-Feb-2004,18-Feb-2004,153,27,17.6%,Madrid,,Spain,High Performance Computer Architecture,Conference,hpcaconf.org/hpca10/index.html,,,ACM
9th High-Performance Computer Architecture,2003,HPCA 2003,HPCA,8-Feb-2003,12-Feb-2003,141,31,22.0%,Anaheim,California,USA,High Performance Computer Architecture,Conference,hpcaconf.org/hpca9/index.html,,,ACM
8th High-Performance Computer Architecture,2002,HPCA 2002,HPCA,2-Feb-2002,6-Feb-2002,130,26,20.0%,Boston,,USA,High Performance Computer Architecture,Conference,hpcaconf.org/hpca8/index.html,,,ACM
7th High-Performance Computer Architecture,2001,HPCA 2001,HPCA,20-Jan-2001,24-Jan-2001,110,26,23.6%,Nuevo Leone,,Mexico,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca2001.html,,,ACM
6th High-Performance Computer Architecture,2000,HPCA 2000,HPCA,8-Jan-2000,12-Jan-2000,163,35,21.5%,Toulouse,,France,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca2000.html,,,ACM
5th High-Performance Computer Architecture,1999,HPCA 1999,HPCA,9-Jan-1999,12-Jan-1999,117,37,31.6%,Orlando,Florida,USA,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca1999.html,,,ACM
4th High-Performance Computer Architecture,1998,HPCA 1998,HPCA,31-Jan-1998,4-Feb-1998,141,26,18.4%,Las Vegas,Nevada,USA,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca1998.html,,,ACM
3rd High-Performance Computer Architecture,1997,HPCA 1997,HPCA,1-Feb-1997,5-Feb-1997,152,30,19.7%,San Antonio,Texas,USA,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca1997.html,,,ACM
2nd High-Performance Computer Architecture,1996,HPCA 1996,HPCA,3-Feb-1996,7-Feb-1996,131,29,22.1%,San Jose,California,USA,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca1996.html,,,ACM
1st High-Performance Computer Architecture,1995,HPCA 1995,HPCA,22-Jan-1995,25-Jan-1995,190,36,18.9%,Raleigh,North Carolina,USA,High Performance Computer Architecture,Conference,dblp.uni-trier.de/db/conf/hpca/hpca1995.html,,,ACM
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
