Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],Events[Sponsor],,,,,,,,,,
9th Principles and Practice of Knowledge Discovery in Databases,2005,ECML PKDD 2005,ECML PKDD,3-Oct-2005,7-Oct-2005,220,35,15.9%,Porto,Portugal,Databases,Conference,www.ecmlpkdd.org/2005/,ACM,,,,,,,,,,,
8th Principles and Practice of Knowledge Discovery in Databases,2004,ECML PKDD 2004,ECML PKDD,20-Sep-2004,24-Sep-2004,269,39,14.5%,Pisa,Italy,Databases,Conference,www.ecmlpkdd.org/2004/,ACM,,,,,,,,,,,
7th Principles and Practice of Knowledge Discovery in Databases,2003,ECML PKDD 2003,ECML PKDD,22-Sep-2003,26-Sep-2003,332,40,12.0%,Cavtat-Dubrovnik,Croatia,Databases,Conference,dblp.org/db/conf/pkdd/pkdd2003.html,ACM,,,,,,,,,,,
6th Principles of Data Mining and Knowledge Discovery,2002,ECML PKDD 2002,ECML PKDD,19-Aug-2002,23-Aug-2002,70,39,55.7%,Helsinki,Finland,Databases,Conference,www.cs.helsinki.fi/events/ecmlpkdd/,ACM,,,,,,,,,,,
5th Principles of Data Mining and Knowledge Discovery,2001,ECML PKDD 2001,ECML PKDD,3-Sep-2001,5-Sep-2001,140,50,35.7%,Freiburg,Germany,Databases,Conference,ttp://dblp.org/db/conf/pkdd/pkdd2001.html,ACM,,,,,,,,,,,
4th Principles of Data Mining and Knowledge Discovery,2000,PKDD 2000,PKDD,13-Sep-2000,16-Sep-2000,100,43,43.0%,Lyon,France,Databases,Conference,eric.univ-lyon2.fr/~pkdd2000/,ACM,,,,,,,,,,,
3rd Principles of Data Mining and Knowledge Discovery,1999,PKDD 1999,PKDD,15-Sep-1999,18-Sep-1999,106,82,77.4%,Prague,Czech Republic,Databases,Conference,lisp.vse.cz/pkdd99/,ACM,,,,,,,,,,,
2nd Principles of Data Mining and Knowledge Discovery,1998,PKDD 1998,PKDD,23-Sep-1998,26-Sep-1998,100,46,46.0%,Nantes,France,Databases,Conference,dblp.uni-trier.de/db/conf/pkdd/pkdd98.html,ACM,,,,,,,,,,,
1st Principles of Data Mining and Knowledge Discovery,1997,PKDD 1997,PKDD,24-Jun-1997,27-Jun-1997,73,26,35.6%,Trondheim,Norway,Databases,Conference,dblp.uni-trier.de/db/conf/pkdd/pkdd97.html,ACM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
