Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],Event[Sponsors],Event[Publisher]
The Conference on Uncertainty in Artificial Intelligence,1991,UAI 1991,UAI,13-Jul-1991,15-Jul-1991,,,,Los Angeles,,USA,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1991,,IEEE
The Conference on Uncertainty in Artificial Intelligence,1990,UAI 1990,UAI,27-Jul-1990,29-Jul-1990,,,,Cambridge,,USA,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1990,,IEEE
The Conference on Uncertainty in Artificial Intelligence,1989,UAI 1989,UAI,18-Aug-0989,20-Aug-1989,,,,windsor,Ontaria,Canada,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1989,,IEEE
The Conference on Uncertainty in Artificial Intelligence,1988,UAI 1988,UAI,10-Jul-1988,12-Jul-1988,,,,Minneapolis,,USA,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1988,,IEEE
The Conference on Uncertainty in Artificial Intelligence,1987,UAI 1987,UAI,10-Jul-1987,12-Jul-1987,,,,seattle,California,USA,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1987,,IEEE
The Conference on Uncertainty in Artificial Intelligence,1986,UAI 1986,UAI,8-Aug-1986,10-Aug-1986,,,,Philadelphia,,USA,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1986,,IEEE
The Conference on Uncertainty in Artificial Intelligence,1985,UAI 1985,UAI,10-Jul-1985,12-Jul-1985,,,,Los Angeles,,USA,Artificial Intelligence,Conference,https://dblp.org/db/conf/uai/uai1985,,IEEE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
