Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,EVENT[PUBLISHER],,Event[sponsor]
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1997,OOPSLA  1997,OOPSLA,5-Oct-1997,10-Oct-1997,,,,Atlanta,Georgia,USA,Object Oriented Programming Systems,Conference,classic.sigplan.org/SPLASH /SPLASH 97/SPLASH 97.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1996,OOPSLA  1996,OOPSLA,6-Oct-1996,10-Oct-1996,,,,San Jose,California,USA,Object Oriented Programming Systems,Conference,classic.sigplan.org/SPLASH /SPLASH 96/SPLASH 96.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1995,OOPSLA  1995,OOPSLA,15-Oct-1995,19-Oct-1995,,,,Austin,Texas,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 95.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1994,OOPSLA  1994,OOPSLA,23-Oct-1994,27-Oct-1994,,,,Portland,Oregon,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 94.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1993,OOPSLA  1993,OOPSLA,26-Sep-1993,1-Oct-1993,,,,Washington,,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 93.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1992,OOPSLA  1992,OOPSLA,18-Oct-1992,22-Oct-1992,,,,Vancouver,British Columbia,Canada,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 92.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1991,OOPSLA  1991,OOPSLA,6-Oct-1991,11-Oct-1991,,,,Phoenix,Arizona,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 91.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1990,OOPSLA  1990,OOPSLA,21-Oct-1990,25-Oct-1990,,,,Ottawa,,Canada,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 90.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1989,OOPSLA  1989,OOPSLA,1-Oct-1989,6-Oct-1989,,,,New Orleans,Louisiana,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 89.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1988,OOPSLA  1988,OOPSLA,25-Sep-1988,30-Sep-1988,,,,San Diego,California,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 88.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1987,OOPSLA  1987,OOPSLA,26-Sep-1988,8-Oct-1987,,,,Orlando,Florida,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 87.html,,ACM,,
"Conference on Object-Oriented Programming Systems, Languages, and Applications",1986,OOPSLA  1986,OOPSLA,,,,,,Portland,Oregon,USA,Object Oriented Programming Systems,Conference,dblp2.uni-trier.de/db/conf/SPLASH /SPLASH 86.html,,ACM,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
