Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor]
23rd Annual ACM SIGACT Symposium on Theory of Computing,1991,STOC 1991,STOC,5-May-1991,8-May-1991,,,,New Orleans,Louisiana,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc91.html,ACM,
22nd Annual ACM SIGACT Symposium on Theory of Computing,1990,STOC 1990,STOC,13-May-1990,17-May-1990,214,59,27.6%,Baltimore,Maryland,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc90.html,ACM,
21st Annual ACM SIGACT Symposium on Theory of Computing,1989,STOC 1989,STOC,14-May-1989,17-May-1989,196,56,28.6%,Seattle,Washigton,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc89.html,ACM,
20th Annual ACM SIGACT Symposium on Theory of Computing,1988,STOC 1988,STOC,2-May-1988,4-May-1988,192,53,27.6%,Chicago,Illinois,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc88.html,ACM,
19th Annual ACM SIGACT Symposium on Theory of Computing,1987,STOC 1987,STOC,,,165,50,30.3%,New York,New York,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc87.html,ACM,
18th Annual ACM SIGACT Symposium on Theory of Computing,1986,STOC 1986,STOC,28-May-1986,30-May-1986,175,47,26.9%,Berkeley,California,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc86.html,ACM,
17th Annual ACM SIGACT Symposium on Theory of Computing,1985,STOC 1985,STOC,6-May-1985,8-May-1985,,,,Providence,Rhode Island,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc85.html,ACM,
16th Annual ACM SIGACT Symposium on Theory of Computing,1984,STOC 1984,STOC,30-Apr-1984,2-May-1984,,,,Washington,,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc84.html,ACM,
15th Annual ACM SIGACT Symposium on Theory of Computing,1983,STOC 1983,STOC,25-Apr-1983,27-Apr-1983,,,,Boston,Massachusetts,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc83.html,ACM,
14th Annual ACM SIGACT Symposium on Theory of Computing,1982,STOC 1982,STOC,5-May-1982,7-May-1982,,,,San Francisco,California,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc82.html,ACM,
13th Annual ACM SIGACT Symposium on Theory of Computing,1981,STOC 1981,STOC,11-May-1981,13-May-1981,,,,Milwaukee,Wisconsin,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc81.html,ACM,
12th Annual ACM SIGACT Symposium on Theory of Computing,1980,STOC 1980,STOC,28-Apr-1980,30-Apr-1980,125,47,37.6%,Los Angeles,California,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc80.html,ACM,
11th Annual ACM SIGACT Symposium on Theory of Computing,1979,STOC 1979,STOC,30-Apr-1979,2-May-1979,111,37,33.3%,Atlanta,Georgia,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc79.html,ACM,
10th Annual ACM SIGACT Symposium on Theory of Computing,1978,STOC 1978,STOC,1-May-1978,3-May-1978,120,38,31.7%,San Diego,California,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc78.html,ACM,
9th Annual ACM SIGACT Symposium on Theory of Computing,1977,STOC 1977,STOC,4-May-1977,6-May-1977,87,31,35.6%,Boulder,Colorado,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc77.html,ACM,
8th Annual ACM SIGACT Symposium on Theory of Computing,1976,STOC 1976,STOC,3-May-1976,5-May-1976,83,30,36.1%,Hershey,Pennsylvania,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc76.html,ACM,
7th Annual ACM SIGACT Symposium on Theory of Computing,1975,STOC 1975,STOC,5-May-1975,7-May-1975,87,31,35.6%,Albuquerque,New Mexico,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc75.html,ACM,
6th Annual ACM SIGACT Symposium on Theory of Computing,1974,STOC 1974,STOC,30-Apr-1974,2-May-1974,95,35,36.8%,Seattle,Washigton,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc74.html,ACM,
5th Annual ACM SIGACT Symposium on Theory of Computing,1973,STOC 1973,STOC,30-Apr-1973,2-May-1973,,,,Austin,Texas,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc73.html,ACM,
4th Annual ACM SIGACT Symposium on Theory of Computing,1972,STOC 1972,STOC,1-May-1972,3-May-1972,60,29,48.3%,Denver,Colorado,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc72.html,ACM,
3rd Annual ACM SIGACT Symposium on Theory of Computing,1971,STOC 1971,STOC,3-May-1971,5-May-1971,50,23,46.0%,Shaker Heights,Ohio,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc71.html,ACM,
2nd Annual ACM SIGACT Symposium on Theory of Computing,1970,STOC 1970,STOC,4-May-1970,6-May-1970,70,27,38.6%,Northampton,Massachusetts,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc70.html,ACM,
1st Annual ACM SIGACT Symposium on Theory of Computing,1969,STOC 1969,STOC,5-May-1969,7-May-1969,,,,Marina del Rey,California,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc69.html,ACM,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
